dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001413,T.E-08.43,Nyża nad Ziobrową,True,False,False
001414,T.E-08.44,Nyża za Załomem,True,False,False
001416,T.E-09.03,Jaskinia Skoruszowa,True,False,False
001417,T.E-08.46,Szczelina pod Smoczą Jamą,True,False,False
001418,T.E-08.47,Radkowa Dziura I,True,False,False
001419,T.E-09.04,Jaskinia przy Perci,True,False,False
001420,T.E-08.48,Radkowa Dziura II,True,False,False
001421,T.E-09.05,Jaskinia nad Arkadą,True,False,False
001422,T.E-09.06,Szczelina przy Arkadzie,True,False,False
001423,T.E-09.07,Arkada,True,False,False
001424,T.E-08.49,Żeleźniakowa Brama,True,False,False
001426,T.E-09.08,Jaskinia Owcza,True,False,False
001427,T.E-08.51,Zasłonięta Szczelina,True,False,False
001428,T.E-08.52,Omszała Szczelina w Żeleźniaku,True,False,False
001429,T.E-08.53,Płaska Komórka w Żeleźniaku,True,False,False
001430,T.E-08.54,Szczelina na Grzędzie,True,False,False
001431,T.E-08.55,Wnęka na Grzędzie,True,False,False
001432,T.E-08.56,Szczelina w Żlebie z Bramką II,True,False,False
001433,T.E-08.57,Schron pod Tunelem,True,False,False
001434,T.E-08.58,Tunel w Żlebie z Bramką,True,False,False
001435,T.E-08.59,Jaskinia pod Bramką,True,False,False
001436,T.E-08.60,Szczelina w Żlebie z Bramką I,True,False,False
001437,T.E-08.61,Meanderek nad Mylną,True,False,False
001438,T.E-08.62,Nyża przed Bramą,True,False,False
001439,T.E-08.63,Nyża w Smytniej,True,False,False
001440,T.E-09.09,Krakowskie Okno,True,False,False
001441,T.E-09.10,Jaskinia pod Oknem,True,False,False
001442,T.E-09.11,Jaskinia z Konkrecjami Niżnia,True,False,False
001443,T.E-09.13,Dziura z Konkrecjami Wyżnia,True,False,False
001444,T.E-09.14,Korytarzyk pod Jagnięcą,True,False,False
001445,T.E-09.12,Jaskinia Czarna,True,False,False
001446,T.E-10.01,Świstowa Szczelina,True,False,False
001447,T.E-09.15,Dziura pod Arkadą,True,False,False
001448,T.E-10.02,Studnia w Małej Świstówce,True,False,False
001449,T.E-09.16,Żółta Dziura,True,False,False
001450,T.E-10.03,Dziura nad Studnią,True,False,False
001451,T.E-10.04,Piwniczka,True,False,False
001452,T.E-09.17,Dziura nad Zachodem,True,False,False
001453,T.E-10.05,Ciasna Szczelina,True,False,False
001454,T.E-10.06,Mała Komora,True,False,False
001455,T.E-09.18,Dziura nad Zachodem Wyżnia,True,False,False
001456,T.E-10.07,Dziura na Półce,True,False,False
001457,T.E-09.19,Schron pod Owczą I,True,False,False
001458,T.E-09.20,Schron pod Owczą II,True,False,False
001459,T.E-11.01,Piwnica Miętusia,True,False,False
001460,T.E-09.21,Dudzia Dziura,True,False,False
001461,T.E-09.22,Ukryty Schron,True,False,False
001462,T.E-09.23,Jaskinia Pajęcza,True,False,False
001463,T.E-09.24,Schron z Napisami,True,False,False
001464,T.E-09.25,Schron przy Arkadzie,True,False,False
001465,T.E-09.27,Dziura w Ździarach,True,False,False
001466,T.E-09.28,Nyża w Ździarach,True,False,False
001467,T.E-09.29,Szczelina w Ratuszu,True,False,False
001468,T.E-09.30,Jaworowa Szczelina,True,False,False
001469,T.E-11.02,Studnia w Dziurawem,True,False,False
001471,T.E-11.04,Jaskinia w Szerokiem,True,False,False
001472,T.E-11.05,Jaskinia Marmurowa,True,False,False
001476,T.E-11.07,Jaskinia nad Piargiem,True,False,False
001477,T.E-11.08,Jaskinia pod Dachem,True,False,False
001478,T.E-11.11,Jaskinia Kozia,True,False,False
001479,T.E-09.31,Dziura nad Żlebem,True,False,False
001480,T.E-11.12,Studnia w Kazalnicy,True,False,False
001481,T.E-09.32,Żółty Schron,True,False,False
001482,T.E-11.13,Studnia za Murem,True,False,False
001483,T.E-09.33,Nisza nad Żółtą Dziurą,True,False,False
001485,T.E-09.34,Spękana Szczelina,True,False,False
001486,T.E-09.35,Dwuotworowa Szczelina,True,False,False
001487,T.E-11.15,Jaskinia pod Wierchem,True,False,False
001488,T.E-09.36,Schron w Upłazkowej Turni,True,False,False
001489,T.E-11.16,Jaskinia Lodowa Mułowa,True,False,False
001490,T.E-11.36,Korytarz nad Dziurawem,True,False,False
001491,T.E-11.17,Studnia w Progu Mułowym,True,False,False
001492,T.E-11.37,Omszała Szczelina,True,False,False
001493,T.E-11.38,Korytarz nad Piargiem,True,False,False
